Modulo,Proceso,Area,Accion,Problema,Solucion,CausaRaiz,CausaGeneral
"","Otro","Contratista","Otro","No me deja actualizar las fechas como el SUA, fechas de DC-3...desde al día martes.","Problema: El usuario lmatamoros@sysep.com.mx no puede registrar a un trabajador (Jose Gilberto Carballo) por error de ""NSS ya registrado"".

Causa: El trabajador ya existe en la base de datos (con NSS 81169801776), pero el usuario intenta darlo de alta nuevamente (con NSS 05180437294).

Solución: Se informó que el trabajador ya está en la lista. Se solicitó al usuario aclarar si desea solo asociarlo al proyecto o si requiere corregir el NSS, ya que los números difieren.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Revisión de información ingresada/sistema",": JOSE GILBERTO CARBALLO ROBLES con NSS 05180437294, a la empresa SISTEMAS Y SERVICIOS ELECTRICOS DE PUEBLA con RFC SSE960801684.  No se ha efectuado debido a que se detectó que este NSS ya se encuentra registrado en nuestra base de datos.","Problema: El usuario lmatamoros@sysep.com.mx no puede registrar a un trabajador (Jose Gilberto Carballo) por error de ""NSS ya registrado"".

Causa: El trabajador ya existe en la base de datos (con NSS 81169801776), pero el usuario intenta darlo de alta nuevamente (con NSS 05180437294).

Solución: Se informó que el trabajador ya está en la lista. Se solicitó al usuario aclarar si desea solo asociarlo al proyecto o si requiere corregir el NSS, ya que los números difieren.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Borrar/Eliminar","Por favor me puede ayudar a dos archivos repetidos con nombre ""Alturas Luis Piedra Pineda"" está tres veces solamente deseo quedarme con una.","Problema: El usuario rh@telca.com.mx reporta archivos triplicados (""Alturas"") para el trabajador Luis Piedra Pineda.

Causa: Duplicidad en la carga de archivos.

Solución: Se eliminaron manualmente los archivos excedentes desde el panel de administración, dejando solo un registro activo.","Eliminación/Baja",""
"","Listado de Personal","Contratista","Modificar/editar","Al momento de modificar la fecha de IMSS del trabajador  DAVID RAMOS, no me da la opción de guardar, me voy a link para modificar e igual forma me marca error","Problema: El usuario reporta imposibilidad para guardar cambios en fechas de cursos.

Causa: Bloqueo de formulario por campos obligatorios incompletos (falta ""Fecha de Nacimiento"").

Solución: Se instruyó al usuario a llenar los campos marcados con asterisco para habilitar la función de guardado.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Altas/Bajas de personal","Quiero dar de baja al personal pero no me da la opción de ""guardar""","Problema: El usuario reporta imposibilidad para guardar cambios en fechas de cursos.

Causa: Bloqueo de formulario por campos obligatorios incompletos (falta ""Fecha de Nacimiento"").

Solución: Se instruyó al usuario a llenar los campos marcados con asterisco para habilitar la función de guardado.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Modificar/editar","Buenas tardes, quiero actualizar la fecha de las DC3 de los colaboradores pero no me deja guardar la información","Problema: El usuario erika.coprinci@gmail.com no puede guardar la edición de fechas de cursos.

Causa: Bloqueo por formulario incompleto. El usuario intentaba guardar sin haber llenado la ""Fecha de Nacimiento"", que es un campo obligatorio (asterisco).

Solución: Se instruyó al usuario a completar los campos obligatorios faltantes para que el sistema habilite la función de guardar cambios.","Capacitación","Incidencias de Usuario"
"","Otro","Contratista","Modificar/editar","PIDO DE SU APOYO PARA EL CAMBIO DE OC. 30015116203 U.O POLVORIN AL SIGUIENTE OC 4402147175  EN EL PLAN DE RESCATE, ALCANCE E IPERC","Problema: El usuario irving.bautista@viulka.com solicita reasignar documentos (Alcance, IPERC, Plan de Rescate) a una nueva OC (4402147175).

Causa: Corrección administrativa de OC por parte del usuario.

Solución: Se realizó la migración manual de la información en la base de datos hacia la OC correcta (4402147175). Se notificó al usuario.","Datos (información incorrecta)","Incidencias de Usuario"
"","Listado de Personal","Contratista","Otro","no me permite guardar cambios en las fechas de cursos","Problema: El usuario erika.coprinci@gmail.com no puede guardar la edición de fechas de cursos.

Causa: Bloqueo por formulario incompleto. El usuario intentaba guardar sin haber llenado la ""Fecha de Nacimiento"", que es un campo obligatorio (asterisco).

Solución: Se instruyó al usuario a completar los campos obligatorios faltantes para que el sistema habilite la función de guardar cambios.","Capacitación","Incidencias de Usuario"
"","Alta de proyecto","Contratista","Otro","No se encuentra la unidad operativa (Encierro Ciel) para poder dar de alta la información","Problema: El usuario rhm_ihesa@yahoo.com.mx no encuentra la UO ""Encierro Ciel"" en el catálogo del sistema.

Causa: La Unidad Operativa no está dada de alta en la base de datos o tiene un nombre diferente.

Solución: Se solicitó al usuario la dirección física exacta de la unidad para validarla con QSE y proceder a su alta o corrección en el sistema.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Listado de Personal","Técnico de Seguridad","Revisión de información ingresada/sistema","no se puede visualizar personal en listado de personal mapris","Problema: El écnico no puede visualizar a dos colaboradores en su proyecto y es urgente ya que estan afera de las instalaciones esperando el acceso
Causa: El contratista al asociarlos coloco mal su RFC por lo que no se pudo vincular el registro 
Solución: Se realizo la corrección del RFC para que se puedan visualizar","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Altas/Bajas de personal","Ya se dio de alta al personal, pero no aparece reflejado en la matriz CAPA ni en la matriz de personal. Asimismo, al intentar vincularlos al proyecto, el sistema no habilita la opción correspondiente.","Problema: El usuario administracion@mapris.com.mx reporta que el personal registrado no aparece en las matrices (CAPA/Personal) y no se puede vincular al proyecto.

Causa: Indeterminada por falta de datos específicos. Podría ser un error de indexación o un problema de caché local del usuario.

Solución: Se solicitó al usuario los Nombres y NSS de los trabajadores para realizar la trazabilidad en el sistema. Se sugirieron pasos básicos de solución de problemas de conectividad/navegador mientras envían la información. 03/02/26 Sin respuesta se cierra ticket","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Alta de proyecto","Contratista","Revisión de información ingresada/sistema","Se cargó la información requerida en el apartado de alta del proyecto y documentación general pero seguridad industrial no visualiza en plataforma dicha información","Problema: El usuario novica240974@gmail.com reporta que Seguridad no ve el proyecto cargado.

Causa: Error de secuencia en el registro (Proyecto antes que Empresa). El sistema eliminó el proyecto automáticamente al no tener una empresa vinculada en el momento de la creación.

Solución: Se explicó la causa raíz. Se instruyó al usuario a registrar el proyecto nuevamente, dado que la empresa ya está activa en el sistema.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Borrar/Eliminar","DE SU APOYO PARA ELIMINAR UNICAMENTE LOS DC3 DE LOS COLABORADORES -JAIR EDUARDO JIMENEZ JUAREZ -CARLOS YAHIR TONIX FLORES","Problema: El usuario SEGURIDAD@GRUPOSEMAIN.COM solicita eliminar los DC3 de dos trabajadores específicos (Jair Eduardo y Carlos Yahir).

Causa: Necesidad de limpiar el campo para cargar documentación actualizada o corregida.

Solución: Se eliminaron manualmente los archivos DC3 solicitados en el sistema. Se notificó al usuario para que proceda con la nueva carga.","Eliminación/Baja",""
"","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","Al usuario de kof de seguridad no se le refleja la parte del alcance, aunque de mi parte aparece ya cargado y en pendiente de revisión","Problema: El usuario eliasroman1ctic@gmail.com reporta que el cliente no ve el Alcance cargado (OC 5501146720_G).

Causa: Flujo secuencial. Probablemente se estaba gestionando una aprobación previa que bloqueaba la vista. Al completarse esa gestión, el documento se liberó.

Solución: Se validó en el sistema que el Alcance ya es visible. Se instruyó notificar al usuario de seguridad para que revise nuevamente.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Documentación General","Contratista","Accesos (visualización/plataforma)","JORGE CAMPOS LOZANO NSS 94129324714 El personal de planta no tiene visualización de él. Les pido que por favor me ayuden a solucionarlo. Que quedo atenta a sus comentarios. Saludos.","roblema:
El personal de planta no tenía visibilidad del colaborador JORGE CAMPOS LOZANO (NSS 94129324714) dentro del proyecto asociado a la UO Tlapa.

Causa:
Durante la asociación del colaborador al proyecto se ingresó el RFC del colaborador en lugar de el RFC correcto de la empresa contratista (ICC0308289G0), lo que impedía su correcta visualización.

Solución:
Ya se realizó la corrección del RFC en el sistema, por lo que el colaborador quedó correctamente asociado al proyecto.
Le solicitamos, por favor, actualizar la página o cerrar sesión y volver a ingresar, para que los cambios se reflejen correctamente.","Usuario","Incidencias de Usuario"
"","Listado de Personal","Contratista","Consultas","Ingres otro proyecto y quiero dar de alta al personal subcontratado pero me indica que ya esta dado de alta, favor de confirmar si es una sola vez que se ingresa al personal","Problema:
Al intentar dar de alta personal subcontratado en un nuevo proyecto, el sistema indica que el colaborador ya se encuentra registrado.

Causa:
En la plataforma, cada colaborador solo debe darse de alta una sola vez en el listado de personal, asociado al RFC de su empresa contratista.
Por este motivo, cuando se intenta volver a registrarlo, el sistema muestra el mensaje de que el colaborador ya existe.

Solución:
No es necesario volver a dar de alta al colaborador en la sección ""Listado de Personal"".
Lo que falta realizar es asociarlo al proyecto específico en el que va a participar.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Borrar/Eliminar","ME APOYAN, DE FAVOR, ELIMINANDO LOS REGISTROS DE MI PERSONAL QUE SE MUESTRAN EN LA IMAGEN, ESTO PARA ACTUALIZAR SU INFORMACIÓN, YA QUE LA MAYORIA SE ENCUENTRA VENCIDA. ¡GRACIAS!","Problema: El usuario seginddiimsa@hotmail.com solicita eliminar personal para actualizar documentos vencidos.

Causa: Desconocimiento de las funciones de la plataforma. El usuario creía necesario borrar y volver a registrar, en lugar de utilizar la función de ""Editar/Actualizar"".

Solución: Se explicó que la gestión es directa en el portal. Se aclaró que pueden simplemente actualizar los archivos vencidos sin borrar al usuario, o eliminarlo si lo prefieren. Se adjuntaron guías de usuario.","Eliminación/Baja",""
"","Otro","Contratista","Modificar/editar","Buena tarde. Quisiera cambiar el correo de acceso puesto que el colaborador el cual tenía el control de la plataforma ya no está dentro de la compañía.","Problema: El usuario solicita cambio de correo de acceso principal (admin) por baja del empleado anterior.

Causa: Rotación de personal en la empresa contratista.

Solución: Se solicitaron los datos puntuales (correo anterior y correo nuevo) para proceder con la actualización de la cuenta en la base de datos.","Usuario","Incidencias de Usuario"
"","Alta de proyecto","Contratista","Modificar/editar","El RFC de la empresa está mal escrito","Problema: El usuario novica240974@gmail.com reporta que el RFC de su empresa está incorrecto.

Causa: Error de captura inicial o dato erróneo en el registro.

Solución: Se verificó el dato actual (AIA100723LX8) y se solicitó al usuario que proporcione el RFC correcto para proceder con la modificación en la base de datos. se revisa caso , se ocmenta de de alta de nuevo el proyecto , usuario ok,","Datos (información incorrecta)","Incidencias de Usuario"
"","Alta de proyecto","Contratista","Revisión de información ingresada/sistema","no podemos visualizar el proyecto e iperc de la unidad polvorin con o.c 30015116203 ya que por indicaciones del departamento de seguridad se modifico el rfc de la empresa y eso afecto en la visualización del proyecto, pido de su apoyo para poder corregir nuevamente el rfc correcto ""GVI160314JG7""","Problema: El usuario irving.bautista@https://www.google.com/search?q=viulka.com perdió la visualización del proyecto (OC 30015116203) tras modificar el RFC.

Causa: Baja automática del sistema. Al cambiar el RFC a uno incorrecto/inexistente, el proyecto quedó ""huérfano"" (sin empresa vinculada) y el sistema lo eliminó.

Solución: Se confirmó que el RFC correcto en su registro de contratistas. Se instruyó al usuario a registrar el proyecto nuevamente desde el inicio, ya que el anterior fue eliminado.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Otro","Contratista","Accesos (visualización/plataforma)","NO ME HA LLEGADO EL CORREO DE INVITACIÓN DE SMARTSHEET CON EL USUARIO Y CONTRASEÑA PARA ENTRAR A LA PLATAFORMA.","Problema: El usuario seginddiimsa@hotmail.com reporta falta de credenciales de acceso (correo de invitación).

Causa: El correo de activación se envía a la cuenta registrada de la empresa, que es diferente a la del usuario que reporta.

Solución: Se reenvió la invitación al correo registrado en la base de datos (diimsa@live.com.mx) y se instruyó al usuario a buscar en esa bandeja específica.","Permisos/accesos","Incidencias Técnicas"
"","Evaluación Diaria","Técnico de Seguridad","Consultas","como cierro la evaluacion diaria si no aparece el tipo de trabajo de trabajos de izaje y elevacion de cargas, en el ticket 2351 y el ticket 2354 me dicen cosas diferentes, como cierro este proceso?","Problema: El usuario sergio.narvaez@kof.com reclama información contradictoria (Tickets 2351 vs 2354) y no puede cerrar la evaluación diaria por falta de la opción ""Izaje"".

Causa:

Error Humano: En el ticket 2351 se le dio información incorrecta (basada en el menú de Contratistas, no de Técnicos).

Limitación del Sistema: El formulario de Evaluación Diaria para Izaje no existe actualmente en el perfil del técnico.

Solución: Se ofreció una disculpa por la confusión. Se instruyó al usuario completar solo los formularios obligatorios (1, 2, 3 y 4) para poder cerrar el día. Se informó que la inclusión del formulario de Izaje está en validación con QSE.","Sistema","Incidencias Técnicas"
"","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","El dia de ayer se cargo el alcance y procedimiento operativo de la unidad fresno, el dia de hoy no puedo visualizar la IPER para cargar los demas datos","Problema: El usuario rhm_ihesa@yahoo.com.mx no visualizaba la sección IPERC tras cargar documentos previos (Alcance/Procedimiento).

Causa: Error de actualización en la interfaz del usuario (la vista no reflejaba el cambio de estatus).

Solución: Se aplicó una actualización en el sistema para forzar la visualización. Se instruyó al usuario refrescar la página (F5) para ver el cambio.","Sistema","Incidencias Técnicas"
"","Documentación General","Contratista","Modificar/editar","Estamos intentando modificar vigencias del imss y Dc3 del personal pero al momento de guardar dicha información no nos deja, nos podrían por favor apoyar con ello.","Problema: El usuario gerencia@argam.mx no puede guardar cambios en vigencias IMSS/DC3.

Causa: Formulario incompleto. El usuario intentaba guardar sin haber llenado todos los campos obligatorios (asterisco), específicamente faltaba la ""Fecha de Nacimiento"".

Solución: Se instruyó al usuario completar todos los campos obligatorios para activar la función de guardado.","Capacitación","Incidencias de Usuario"
"","Alta de proyecto","Técnico de Seguridad","Accesos (visualización/plataforma)","Refiere el proveedor que ya cargo la documentacion en la plataforma pero no se visualiza en ninguna de las 4 unidades operativas, la UO es directamente progreso.","Problema: El usuario hector.hernandez@kof.com no visualiza el proyecto (OC 5501165907) en ninguna UO.

Causa: Error de secuencia en el registro del contratista (Proyecto antes que Empresa). El sistema eliminó automáticamente el proyecto al no tener una empresa vinculada en ese momento.

Solución: Se explicó la causa raíz. Se indicó que la única solución es que el contratista registre el proyecto nuevamente (ahora que la empresa ya existe). Se compartió guía de aprobación al técnico.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Procedimiento Operativo (Alcance )","Técnico de Seguridad","Accesos (visualización/plataforma)","No se visualiza procedimiento o alcande lel proyecto, sin embargo el proveedor comenta que ya lo subio a la plataforma","Problema: La usuaria karla.medina@kof.com no visualiza Alcance/Procedimiento (OC 4402145711).

Causa: Bloqueo por flujo secuencial. La usuaria tiene pendiente aprobar a un trabajador, lo que impide que el sistema le muestre los documentos de la siguiente fase.

Solución: Se le explicó que debe aprobar primero al personal pendiente para que el sistema desbloquee y muestre los documentos de Alcance y Procedimiento.","Capacitación","Incidencias de Usuario"
"","Procedimiento Operativo (Alcance )","Contratista","Accesos (visualización/plataforma)","No le aparece el alcanze al personal de planta por ende no pueden autorizarlo","Problema: El usuario fanguel092@gmail.com reporta que el técnico no ve el ""Alcance"" para aprobarlo.

Causa: Bloqueo por flujo secuencial. Existe un trabajador pendiente de aprobación, lo que impide que el sistema muestre la siguiente fase (Alcance/Procedimientos).

Solución: Se explicó al usuario el orden del flujo (Trabajador -> Alcance -> IPERC -> Plan de Rescate). Se adjuntó guía para consultar estatus de proyecto.","Capacitación","Incidencias de Usuario"
"","Listado de Personal","Contratista","Accesos (visualización/plataforma)","El personal de planta no puede ver al siguiente personal","ProblemaEl personal de planta no puede visualizar al personal asociado al proyecto dentro de la plataforma.CausaDurante el proceso de asociación del personal al proyecto, se capturaron datos incorrectos en el campo de la orden de compra, lo que impidió que la información se reflejara correctamente.SoluciónSe realizó la corrección de los datos correspondientes en el sistema.","Usuario","Incidencias de Usuario"
"","Permisos de Trabajo","Contratista","Modificar/editar","Solcitamos por favor editar la hora de término en los primeros 4 permisos que subimos a la plataforma, a  los cuales se les capturó hora de término por error de las 03:00 (a 2 permisos), 03:30 (1 permiso) y 15:30 (1 permiso), favor de colocarles hora de término de las 18:00 a los 4 permisos, gracias.","Problema:
El usuario solicita la corrección de la hora de término en los primeros cuatro permisos cargados en la plataforma, ya que fueron capturados por error con horarios incorrectos.

Causa:
Durante la captura inicial de los permisos, se registraron horas de término erróneas (03:00, 03:30 y 15:30), lo que generó la inconsistencia en la información.

Solución:
Se realizó la actualización de la hora de término de los cuatro permisos, estableciéndola correctamente a las 18:00 horas, conforme a lo solicitado.
Por favor, le pedimos actualizar/refrescar la plataforma para visualizar los cambios reflejados.","Datos (información incorrecta)","Incidencias de Usuario"
"","Alta de proyecto","Contratista","Revisión de información ingresada/sistema","DI DE ALTA EL PROYECTO PERO NO SE VISUALIZA TENGO LA CONFIRMACION DEL ALTA, EL ALCANCE, PLAN DE RESCATE, ASOCIACION DE PERSONAL NO APARECE LA UNIDAD OPERTIVA Y EL IPERC NO SE REFLEJA","Problema:
El usuario reporta que, aunque realizó el alta del proyecto y cuenta con la confirmación, no logra visualizar la información asociada. No se refleja la Unidad Operativa, ni el IPERC, ni los apartados de alcance, plan de rescate y asociación de personal.

Causa:
Durante el proceso de alta del proyecto se capturó de forma incorrecta el RFC de la empresa. Al no reconocerse correctamente la empresa en el sistema, este dio de baja el proyecto de manera automática, lo que impidió que la información se mostrara.

Solución:
Se realizaron las actualizaciones correspondientes para corregir el RFC y restablecer el proyecto. En este momento, únicamente es necesario que el usuario actualice la plataforma (refresque la página) para que los cambios se vean reflejados correctamente.","Usuario","Incidencias de Usuario"
"","Evaluación Diaria","Técnico de Seguridad","Revisión de información ingresada/sistema","No me permite visualizar la información subida al apartado de valuación diaria, no se reflejan los registros","Problema
No se visualizan los registros en el apartado de valuación diaria.

Causa
No se ha registrado el Formulario 1, el cual es el que habilita y muestra el estatus de los demás formularios de la evaluación diaria.

Solución
Registrar primero el Formulario 1. Una vez reflejado el estatus, completar todos los formularios que aparezcan como pendientes, asegurando que todos se registren con la misma fecha del primer formulario. En caso de usar fechas distintas, el estatus no se actualizará y continuará marcándose como pendiente.","Capacitación","Incidencias de Usuario"
"","Evaluación Diaria","Técnico de Seguridad","Consultas","en la evaluacion diaria en la opcion de el tipo de trabajos de izaje y elevacion de cargas, envio captura de pantalla","Problema

El usuario reporta que, dentro de la evaluación diaria, en la opción correspondiente al tipo de trabajos de izaje y elevación de cargas, se presenta una situación que impide su correcta selección/visualización, anexando evidencia mediante captura de pantalla.

Causa

Actualmente, la plataforma no cuenta habilitado el apartado específico para trabajos de izaje y elevación de cargas dentro de la evaluación diaria.

Solución

El caso fue identificado y se validará con el equipo de QSE México la viabilidad de integrar este tipo de trabajo en futuras actualizaciones de la plataforma.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Listado de Personal","Contratista","Borrar/Eliminar","Eliminar de plataforma al colaborador CRUZ MANUEL SEVILLA RIVERO","Problema: El usuario seguridad@ctsingenieria.com solicita eliminar al trabajador Cruz Manuel Sevilla Rivero de su lista.

Causa: Desconocimiento del proceso de autogestión. El usuario solicitaba soporte para una tarea que se realiza directamente en el portal.

Solución: Se indicó al usuario que la baja la gestiona él mismo en la plataforma. Se le proporcionó una guía rápida del procedimiento.","Capacitación","Incidencias de Usuario"
"","Otro","Contratista","Accesos (visualización/plataforma)","Me conecte desde el link que me compartieron para unirme al tablero de FEMSA pero despues de mi registro no me aparece nada relacionado con lo visto en los cursos que me presentaron, adjunto una foto en donde se visializa como veo yo la plataforma. Quedo pendiente gracias","Problema: El usuario E.BAZAN@LUBRYXA.COM reporta ""dashboard vacío"" tras registrarse; no ve los módulos de trabajo.

Causa: Falta de asociación del proyecto. El usuario creó la cuenta (Login) pero no ha ejecutado el alta del proyecto (Input de OC + RFC), por lo que el sistema no despliega información.

Solución: Se proporcionaron los pasos para realizar el ""Alta de Proyecto"" ingresando la OC 5501169219 y el RFC RACA702246W4 para activar la visualización.","Capacitación","Incidencias de Usuario"
"","Evaluación Diaria","Técnico de Seguridad","Consultas","en la evaluacion diaria en la opcion de el tipo de trabajo no aparece izaje con grua","Problema: El usuario sergio.narvaez@kof.com no encuentra la opción ""Izaje con grúa"" en la evaluación diaria.

Causa: Confusión de terminología. El usuario buscaba el nombre específico del equipo, mientras que el sistema usa la categoría general de la actividad.

Solución: Se indicó al usuario que debe seleccionar la opción ""Trabajos de Izaje y elevación de Cargas"", la cual cubre la maniobra requerida.","Consulta informativa","Incidencias en Procesos/Administrativos"
"","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","pido de su apoyo para eliminar el archivo con el nombre ""alcance desinstalación"" y dejar el archivo que dice ""alcance desinstalacion selectivo""","Problema: El usuario irving.bautista@viulka.com solicita eliminar un archivo específico (""alcance desinstalación"") por duplicidad o error, conservando otro.

Causa: Solicitud de corrección de documentos por parte del usuario.

Solución: Se eliminó el archivo solicitado manualmente en el sistema, dejando únicamente la versión correcta. Se instruyó al usuario refrescar la vista.","Eliminación/Baja",""
"","Listado de Personal","Contratista","Modificar/editar","Por error registramos a dos trabajadores con el mismo numero de seguridad social: Domingo Guillen Arcos  con número 53138105589 y Jonathan Fernando Quintana Sandoval cuyo numero correcto es 19240501411","Problema: El usuario lonas_hergo@hotmail.com registró por error a dos trabajadores con el mismo NSS (53138105589).

Causa: Error de captura manual del usuario (duplicidad de datos).

Solución: Se realizó la corrección manual en el sistema, asignando el NSS correcto (19240501411) al trabajador Jonathan Fernando Quintana Sandoval para resolver el conflicto.","Datos (información incorrecta)","Incidencias de Usuario"
"","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","Se cargaron los pasos a seguir de la actividad en la matriz IPERC pero el compañero de seguridad patrimonial no los vizualiza.","Problema: El usuario raulservinramirez@outlook.com reporta que el técnico de seguridad no ve la información cargada en la IPERC (OC 5501111691).

Causa: Falta de permisos de visualización en el informe del perfil del técnico (backend).

Solución: Se actualizaron los permisos del informe en el sistema. Se indicó solicitar al técnico refrescar su navegador para visualizar los datos.","Sistema","Incidencias Técnicas"
"","Documentación General","Contratista","Borrar/Eliminar","Buen día, quisiera quitar el DC3 de Alturas del compañero Jorge Luis Juárez Sanchez ya que esta venido y se va a subir el nuevo DC3 con la fecha actualizada","Problema: El usuario Seguridad@gruposemain.com solicita eliminar un DC3 de Alturas vencido para el trabajador Jorge Luis Juárez Sánchez.

Causa: Actualización de documentos. El usuario requería el espacio libre para la nueva carga.

Solución: Se eliminó el archivo antiguo desde el panel de administración y se notificó al usuario para que cargue el documento vigente.","Eliminación/Baja",""
"","Otro","Contratista","Modificar/editar","NO SE ENCUENTRA ASOCIADO EL COMPAÑERO JAVIER CASTILLO CUAHUTENCOS ,61088506391","Problema: El usuario domingo.casasola@yahoo.com.mx reporta que el trabajador Javier Castillo no se encuentra asociado.

Causa: Error de captura (dedo) por parte del usuario. Registraron al trabajador bajo un RFC incorrecto (MSI13106QK0) en lugar del real (MSI131206QK0), rompiendo la vinculación.

Solución: Se identificó el error tipográfico y se instruyó al usuario a corregir el registro utilizando el RFC válido. Se recomendó mayor atención en la captura de identificadores clave.","Datos (información incorrecta)","Incidencias de Usuario"
"","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","EL ALCANCE Y ARCHIVO ATS SUBIDO A PLANTA IXTACOMITAN NO SON APLICABLES DE LA MANERA EN QUE FUERON SUBIDOS A LA PLATAFORMA. POR FAVOR REMOVERLOS YA QUE SEGURIDAD LOS VALIDARÁ DE DIFERENTE FORMA","Problema:
El alcance y el archivo AST cargados para la Planta Ixtacomitán no son aplicables en la forma en que fueron subidos a la plataforma, por lo que se solicita su eliminación.

Causa:
Los documentos fueron cargados inicialmente, pero requieren ajustes o adecuaciones conforme a la validación que realizará el área de Seguridad. Sin embargo, existe la percepción de que deben eliminarse para corregir la información.

Solución:
No es necesario eliminar los archivos de Alcance. Estos pueden actualizarse directamente desde el módulo de Terceros.
Adicionalmente, los pasos y actividades pueden ajustarse en el apartado de IPERC, según lo requerido por Seguridad, permitiendo mantener la información vigente y correcta sin necesidad de borrar registros.","Capacitación","Incidencias de Usuario"
"","Otro","Técnico de Seguridad","Otro","El dia de hoy salio positivo un colaborador en alcolimetrio, es identificado en la evlauacion medica antes de realizar el trabajo en altura, no ubico el punto para reportar esta incidencia","Problema: Colaborador positivo en alcoholímetro Causa: Consulta informativa Solución: Por el momento la plataforma no cuenta con un apartado específico para el registro de incidencias. En este caso, le sugerimos rechazar al colaborador desde el listado de personal e indicar en los comentarios el motivo del rechazo (resultado positivo en alcoholemia).","Usuario","Incidencias de Usuario"
"","Permisos de Trabajo","Contratista","Modificar/editar","FAVOR DE MODIFICAR LA FECHA DEL ULTIMO PERMISO SUBIDO A UO MINATIRLAN, LA FECHA CORRECTA ES 01/26/2026, ERRONEAMENTE SE COLOCÓ 01/19/2026","Problema:
El último permiso cargado en la UO Minatitlán presentaba una fecha incorrecta, lo que generaba inconsistencia en el registro del permiso.

Causa:
Durante la carga del permiso, la fecha fue ingresada erróneamente como 01/19/2026 en lugar de la fecha correcta 01/26/2026.

Solución:
Se realizó la corrección de la fecha del permiso en la plataforma, quedando actualizada correctamente a 01/26/2026.","Datos (información incorrecta)","Incidencias de Usuario"
"","Listado de Personal","Técnico de Seguridad","Revisión de información ingresada/sistema","SE REQUIERE VISIBILIDAD QUIEN AUTORIZO AL PERSONAL: Pedro Daniel Rojas Pablo y Alexy Salgado Perez","Problema: El técnico ve aprobados a dos colaboradores pero el no los aprobo
Cáusa: un técnico en otra UO los aprovo previamente por que ejecutaron un trabajo en esa UO antes de asociarse al proyecto en esta UO
Solución: Material de capacitación y la explciación de la causa","",""
"","Listado de Personal","Contratista","Altas/Bajas de personal","El colaborador Emmanuel Ramírez Fernández, con RFC RAFE910615SU1, numero de seguro social 05169152021, dejo de laborar con la compañía TECMEN TECNIVA el mes de diciembre y no se dio de baja de la plataforma, actualmente trabajara con nuestra compañía DT LATAM, pero el sistema no permite darlo de alta, solicitamos puedan darlo de baja de la plataforma de la empresa TECMEN TECNIVA,  para poderlo asociar al proyecto que se le fue asignado en la planta Apizaco, así mismo nos permitan cargar su información en nuestro listado de personal para que si información pueda ser verificada. gracias","Problema:
El colaborador Emmanuel Ramírez Fernández no podía ser dado de alta ni asociado al proyecto en la Planta Apizaco, debido a que aún aparecía registrado en la plataforma bajo la empresa TECMEN TECNIVA, lo que impedía su registro con la empresa DT LATAM.

Causa:
El colaborador dejó de laborar con la empresa TECMEN TECNIVA en el mes de diciembre, sin embargo, no se realizó su baja administrativa en la plataforma, manteniéndose activo con la empresa anterior.

Solución:
Se realizó la baja del colaborador de la empresa TECMEN TECNIVA en la plataforma.
Actualmente, el colaborador ya se encuentra asociado correctamente a la empresa DT LATAM dentro del listado de personal.
Únicamente queda pendiente asociarlo al proyecto específico asignado en la Planta Apizaco para concluir el proceso.","Duplicidad de registros","Incidencias en Procesos/Administrativos"
"","Análisis IPERC / AST","Técnico de Seguridad","Revisión de información ingresada/sistema","El proveedor refiere ya haber subido su información de 17 pasos en plataforma, pero en mi perfil se visualizan 13","Problema: El técnico no visualiza 5 pasos adicionales sumados por el contratista
Causa: el sistema se bugueo en la automatización que envia los nuevos registros manuales al listado de IPerC
Solución: Hemos corregido la automatización apra que no pase de nuevo para este u otros casos futuros en cualquier UO","Sistema","Incidencias Técnicas"
"","Otro","Contratista","Otro","¿donde se descarga la declaracion jurada?, no encuentro la seccion","Problema: Se desconoce donde descargar la declaración jurada Causa: Capacitación Solución: Se brinda el material de apoyo y el documento solicitado","Capacitación","Incidencias de Usuario"
